//BuildingInfo
index,race,teer,name,nextLV,cost
int32,int32,int32,string,int32,int32
1,1,0,엘프 성,320,0
101,2,0,인간 성,320,0
201,3,0,언데드 성,320,0
301,1,1,엘프 아처 건물,900,4500
401,1,2,엘프 드루이드 건물,13500,67500
501,1,3,엘프 바드 건물,202500,1012500
601,1,4,엘프 영혼술사 건물,3073500,15187500
701,1,5,엘프 가디언 건물,45562500,30000000
801,2,1,인간 아처 건물,900,4500
901,2,2,인간 전사 건물,13500,67500
1001,2,3,인간 방패병 건물,202500,1012500
1101,2,4,인간 거너 건물,3073500,15187500
1201,2,5,인간 수녀 건물,45562500,30000000
1301,3,1,언데드 전사 건물,900,4500
1401,3,2,언데드 마녀 건물,13500,67500
1501,3,3,언데드 리퍼 건물,202500,1012500
1601,3,4,언데드 네크로맨서 건물,3073500,15187500
1701,3,5,언데드 소울 나이트 건물,45562500,30000000

//MainBuildingInfo
index,nextLV
int32,int32
1,100
101,100
201,100

//BuildCost
LV,NormalRate,mainBuildingRate
int32,float,float
1,1,1.6
16,1,1.2

