//BuildingInfo
index,race,teer,name,spawnCharacter,nextLV,cost,buildTime
int32,int32,int32,string,int32,int32,int32,int32
1,1,0,엘프 성,0,320,0,5
101,2,0,인간 성,0,320,0,5
201,3,0,언데드 성,0,320,0,5
301,1,1,엘프 아처 건물,1,900,4500,2
401,1,2,엘프 드루이드 건물,2,13500,67500,2
501,1,3,엘프 바드 건물,3,202500,1012500,3
601,1,4,엘프 영혼술사 건물,4,3073500,15187500,3
701,1,5,엘프 가디언 건물,5,45562500,30000000,4
801,2,1,인간 아처 건물,6,900,4500,2
901,2,2,인간 전사 건물,7,13500,67500,2
1001,2,3,인간 방패병 건물,8,202500,1012500,3
1101,2,4,인간 거너 건물,9,3073500,15187500,3
1201,2,5,인간 수녀 건물,10,45562500,30000000,4
1301,3,1,언데드 전사 건물,11,900,4500,2
1401,3,2,언데드 마녀 건물,12,13500,67500,2
1501,3,3,언데드 리퍼 건물,13,202500,1012500,3
1601,3,4,언데드 네크로맨서 건물,14,3073500,15187500,3
1701,3,5,언데드 소울 나이트 건물,15,45562500,30000000,4

//MainBuildingInfo
index,nextLV
int32,int32
1,100
101,100
201,100

//BuildCost
LV,NormalRate,mainBuildingRate,buildTimeRate
int32,float,float,float
1,1,1.6,1.6
16,1,1.2,1.3
40,1,1.1,1.1

