//CharacterInfo
index,race,name,cost,ability,atk,def,hp,speed,atkCooltime,distance
int32,int32,string,int32,List<int32>,float,float,float,float,float,float
1,1,엘프 궁수,500,1#2#3#5,150,80,150,1.5,1.65,10
2,1,엘프 드루이드,2500,1#2#3#5,225,112,300,1.35,1.5,5
3,1,엘프 바드,5000,1#2#3#5,338,156.8,600,1.65,1.35,4
4,1,엘프 정령사,7700,1#2#3#5,506,219.52,1200,1.2,1.2,4.5
5,1,엘프 수호자,8800,1#2#3#5,759,307.328,2400,1.95,10.5,3
6,2,인간 궁수,500,1#2#3#6,150,80,150,1.5,1.65,10
7,2,인간 전사,2500,1#2#3#6,225,140,300,1.35,1.5,2
8,2,인간 방패병,5000,1#2#3#6,338,196,600,1.65,1.35,2
9,2,인간 거너,7700,1#2#3#6,520,220,1200,1.2,1.2,12
10,2,인간 수녀,8800,1#2#3#6,759,384.16,2400,1.95,10.5,5
11,3,언데드 전사,500,1#2#3#7,150,100,150,1.5,1.65,2
12,3,언데드 주술사,2500,1#2#3#7,235,130,300,1.35,1.5,5
13,3,언데드 리퍼,5000,1#2#3#7,338,196,600,1.65,1.35,3
14,3,언데드 네크로멘서,7700,1#2#3#7,506,274.4,1200,1.2,1.2,3
15,3,언데드 소울나이트,8800,1#2#3#7,759,384.16,2400,1.95,10.5,3
16,3,마왕,0,1#2#3#8#9,290,0,720000,0,4.5,12

