//BuildingInfo
index,race,teer,name,spawnCharacter,nextLV,cost,buildTime,unitCreat
int32,int32,int32,string,int32,int32,int32,int32,int32
1,1,0,세계수,0,320,0,5,0
101,2,0,왕국,0,320,0,5,0
201,3,0,카타콤,0,320,0,5,0
301,1,1,엘프 궁수 양성소,1,900,4500,2,1
401,1,2,엘프 드루이드 양성소,2,13500,67500,2,1
501,1,3,엘프 바드 양성소,3,202500,1012500,3,1
601,1,4,엘프 정령사 양성소,4,3073500,15187500,3,1
701,1,5,엘프 수호자 양성소,5,45562500,30000000,4,1
801,2,1,인간 궁수 양성소,6,900,4500,2,1
901,2,2,인간 전사 양성소,7,13500,67500,2,1
1001,2,3,인간 방패병 양성소,8,202500,1012500,3,1
1101,2,4,인간 거너 양성소,9,3073500,15187500,3,1
1201,2,5,인간 수녀 양성소,10,45562500,30000000,4,1
1301,3,1,언데드 전사 양성소,11,900,4500,2,1
1401,3,2,언데드 주술사 양성소,12,13500,67500,2,1
1501,3,3,언데드 리퍼 양성소,13,202500,1012500,3,1
1601,3,4,언데드 네크로멘서 양성소,14,3073500,15187500,3,1
1701,3,5,언데드 소울나이트 양성소,15,45562500,30000000,4,1

//MainBuildingInfo
index,nextLV
int32,int32
1,100
101,100
201,100

//BuildCost
LV,NormalRate,mainBuildingRate,buildTimeRate
int32,float,float,float
1,1,1.6,1.6
16,1,1.2,1.3
40,1,1.2,1.1

